country_id,iso3_code,country_name,region,subregion,latitude,longitude,valid_from,valid_to,notes
QAT,QAT,Qatar,,,25.318528486425386,51.19794918743203,1970,,BACI country_code=634; centroid source=world-countries-centroids
ROU,ROU,Romania,,,45.82454894397586,25.094158201563292,1970,,BACI country_code=642; centroid source=world-countries-centroids
RUS,RUS,Russian Federation,,,59.039434214106194,98.6704990698032,1970,,BACI country_code=643; centroid source=world-countries-centroids
RWA,RWA,Rwanda,,,-2.014687460047154,29.919439681764082,1970,,BACI country_code=646; centroid source=world-countries-centroids
SAU,SAU,Saudi Arabia,,,24.136038144757897,44.600958178225596,1970,,BACI country_code=682; centroid source=world-countries-centroids
SDN,SDN,Sudan,,,15.67060230984256,29.951458283594064,1970,,BACI country_code=729; centroid source=world-countries-centroids
SDN,SDN,Sudan,,,15.67060230984256,29.951458283594064,1970,,BACI country_code=736; centroid source=world-countries-centroids
SEN,SEN,Senegal,,,14.228861491763402,-14.610875368352305,1970,,BACI country_code=686; centroid source=world-countries-centroids
SGP,SGP,Singapore,,,1.3528251890006349,103.81025757634053,1970,,BACI country_code=702; centroid source=world-countries-centroids
SHN,SHN,Saint Helena,,,-15.962963318340398,-5.717391620813109,1970,,BACI country_code=654; centroid source=world-countries-centroids
SLB,SLB,Solomon Islands,,,-9.613104734596515,160.16475795033884,1970,,BACI country_code=90; centroid source=world-countries-centroids
SLE,SLE,Sierra Leone,,,8.561330384750587,-11.78656695731115,1970,,BACI country_code=694; centroid source=world-countries-centroids
SLV,SLV,El Salvador,,,13.758041517055418,-88.85911489238985,1970,,BACI country_code=222; centroid source=world-countries-centroids
SMR,SMR,San Marino,,,43.942820729097896,12.461278349581722,1970,,BACI country_code=674; centroid source=world-countries-centroids
SOM,SOM,Somalia,,,6.524534573103924,45.40037867243972,1970,,BACI country_code=706; centroid source=world-countries-centroids
SPM,SPM,Saint Pierre and Miquelon,,,46.95153913615198,-56.32465353437558,1970,,BACI country_code=666; centroid source=world-countries-centroids
SRB,SRB,Serbia,,,44.02679870131969,20.85677444395745,1970,,BACI country_code=688; centroid source=world-countries-centroids
SSD,SSD,South Sudan,,,7.657782041763295,30.3851856901788,1970,,BACI country_code=728; centroid source=world-countries-centroids
STP,STP,Sao Tome and Principe,,,0.22744704294793774,6.606158796857607,1970,,BACI country_code=678; centroid source=world-countries-centroids
SUR,SUR,Suriname,,,4.098723595920171,-55.855514311561286,1970,,BACI country_code=740; centroid source=world-countries-centroids
SVK,SVK,Slovakia,,,48.69808390520484,19.581015362490966,1970,,BACI country_code=703; centroid source=world-countries-centroids
SVN,SVN,Slovenia,,,46.13759229564504,14.890636899973781,1970,,BACI country_code=705; centroid source=world-countries-centroids
SWE,SWE,Sweden,,,62.73420986108448,17.062431988004956,1970,,BACI country_code=752; centroid source=world-countries-centroids
SWZ,SWZ,Eswatini,,,-26.562540935608702,31.510685746082007,1970,,BACI country_code=748; centroid source=world-countries-centroids
SXM,SXM,Sint Maarten,,,18.03942608463078,-63.06883135915303,1970,,BACI country_code=534; centroid source=world-countries-centroids
SYC,SYC,Seychelles,,,-4.660002318822744,55.47250789595527,1970,,BACI country_code=690; centroid source=world-countries-centroids
SYR,SYR,Syria,,,35.09751106058316,38.5117323139514,1970,,BACI country_code=760; centroid source=world-countries-centroids
TCA,TCA,Turks and Caicos Islands,,,21.799865427483745,-71.74058946811508,1970,,BACI country_code=796; centroid source=world-countries-centroids
TCD,TCD,Chad,,,15.283493546654503,18.427113900363025,1970,,BACI country_code=148; centroid source=world-countries-centroids
TGO,TGO,Togo,,,8.660743037717811,0.8990857571109684,1970,,BACI country_code=768; centroid source=world-countries-centroids
THA,THA,Thailand,,,13.66222784745538,101.08675116214552,1970,,BACI country_code=764; centroid source=world-countries-centroids
TJK,TJK,Tajikistan,,,38.56933138382972,70.94215281065698,1970,,BACI country_code=762; centroid source=world-countries-centroids
TKL,TKL,Tokelau,,,-9.195174767256544,-171.85265950722743,1970,,BACI country_code=772; centroid source=world-countries-centroids
TKM,TKM,Turkmenistan,,,39.06069118001429,58.4577357627054,1970,,BACI country_code=795; centroid source=world-countries-centroids
TLS,TLS,Timor-Leste,,,-8.809894630601962,125.95024049562659,1970,,BACI country_code=626; centroid source=world-countries-centroids
TON,TON,Tonga,,,-21.15927212823853,-175.20415878511247,1970,,BACI country_code=776; centroid source=world-countries-centroids
TTO,TTO,Trinidad and Tobago,,,10.415515638298093,-61.37236579976247,1970,,BACI country_code=780; centroid source=world-countries-centroids
TUN,TUN,Tunisia,,,34.08636179565723,9.65587551697984,1970,,BACI country_code=788; centroid source=world-countries-centroids
TUR,TUR,Turkey,,,38.93207363123396,35.56886764076691,1970,,BACI country_code=792; centroid source=world-countries-centroids
TUV,TUV,Tuvalu,,,-8.514701506447222,179.217833977593,1970,,BACI country_code=798; centroid source=world-countries-centroids
TZA,TZA,Tanzania,,,-6.355794440041147,34.81832206060381,1970,,BACI country_code=834; centroid source=world-countries-centroids
UGA,UGA,Uganda,,,1.2821729218416205,32.34371768463123,1970,,BACI country_code=800; centroid source=world-countries-centroids
UKR,UKR,Ukraine,,,48.657532515563794,31.27377208442636,1970,,BACI country_code=804; centroid source=world-countries-centroids
URY,URY,Uruguay,,,-32.78195043831093,-56.01919523458085,1970,,BACI country_code=858; centroid source=world-countries-centroids
USA,USA,United States,,,38.8208089190304,-96.33161660829639,1970,,BACI country_code=842; centroid source=world-countries-centroids
UZB,UZB,Uzbekistan,,,41.4879065244633,63.8548297593985,1970,,BACI country_code=860; centroid source=world-countries-centroids
VCT,VCT,Saint Vincent and the Grenadines,,,13.254808122970651,-61.193766354393034,1970,,BACI country_code=670; centroid source=world-countries-centroids
VEN,VEN,Venezuela,,,7.148324760507107,-66.36492135985132,1970,,BACI country_code=862; centroid source=world-countries-centroids
VGB,VGB,British Virgin Islands,,,18.42195819619707,-64.62406519257699,1970,,BACI country_code=92; centroid source=world-countries-centroids
VNM,VNM,Vietnam,,,16.517347170839393,105.91338832758704,1970,,BACI country_code=704; centroid source=world-countries-centroids
VUT,VUT,Vanuatu,,,-15.189132121699332,166.84912735669738,1970,,BACI country_code=548; centroid source=world-countries-centroids
WLF,WLF,Wallis and Futuna,,,-14.283442307826677,-178.12735555777184,1970,,BACI country_code=876; centroid source=world-countries-centroids
WSM,WSM,Samoa,,,-13.634252953274622,-172.44107655740137,1970,,BACI country_code=882; centroid source=world-countries-centroids
YEM,YEM,Yemen,,,16.001392616307445,47.46815793206386,1970,,BACI country_code=887; centroid source=world-countries-centroids
ZAF,ZAF,South Africa,,,-28.55361930679731,24.75252746489084,1970,,BACI country_code=710; centroid source=world-countries-centroids
ZMB,ZMB,Zambia,,,-13.162832953186246,27.75521363430896,1970,,BACI country_code=894; centroid source=world-countries-centroids
ZWE,ZWE,Zimbabwe,,,-18.92700121981475,29.717829640720844,1970,,BACI country_code=716; centroid source=world-countries-centroids
